Query Sequence	GO:EggNOG GO Molecular
jg29797.t1	GO:0042578-phosphoric ester hydrolase activity(L=4)
jg29127.t1	GO:0001883-purine nucleoside binding(L=4)
jg29127.t1	GO:0017076-purine nucleotide binding(L=4)
jg29127.t1	GO:0032549-ribonucleoside binding(L=4)
jg29127.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg29127.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg29916.t1	GO:0015036-disulfide oxidoreductase activity(L=4)
jg29501.t1	GO:0001883-purine nucleoside binding(L=4)
jg29501.t1	GO:0017076-purine nucleotide binding(L=4)
jg29501.t1	GO:0032549-ribonucleoside binding(L=4)
jg29501.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg29501.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg29656.t1	GO:0001883-purine nucleoside binding(L=4)
jg29656.t1	GO:0016301-kinase activity(L=4)
jg29656.t1	GO:0016831-carboxy-lyase activity(L=4)
jg29656.t1	GO:0017076-purine nucleotide binding(L=4)
jg29656.t1	GO:0032549-ribonucleoside binding(L=4)
jg29656.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg29656.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg30102.t1	GO:0001883-purine nucleoside binding(L=4)
jg30102.t1	GO:0003723-RNA binding(L=4)
jg30102.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg30102.t1	GO:0015399-primary active transmembrane transporter activity(L=4)
jg30102.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg30102.t1	GO:0016820-hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances(L=4)
jg30102.t1	GO:0017076-purine nucleotide binding(L=4)
jg30102.t1	GO:0032549-ribonucleoside binding(L=4)
jg30102.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg30102.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg30102.t1	GO:0046872-metal ion binding(L=4)
jg28957.t1	GO:0016758-transferase activity, transferring hexosyl groups(L=4)
jg28873.t1	GO:0003723-RNA binding(L=4)
jg28873.t1	GO:0016779-nucleotidyltransferase activity(L=4)
jg28873.t1	GO:0046872-metal ion binding(L=4)
jg28873.t1	GO:0070011-peptidase activity, acting on L-amino acid peptides(L=4)
jg29867.t1	GO:0001067-regulatory region nucleic acid binding(L=4)
jg29867.t1	GO:0003677-DNA binding(L=4)
jg29867.t1	GO:0046872-metal ion binding(L=4)
jg29674.t1	GO:0004738-pyruvate dehydrogenase activity(L=4)
jg29674.t1	GO:0016624-oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor(L=4)
jg29674.t1	GO:0046872-metal ion binding(L=4)
jg29308.t1	GO:0031406-carboxylic acid binding(L=4)
jg29096.t1	GO:0046872-metal ion binding(L=4)
jg28828.t1	GO:0016831-carboxy-lyase activity(L=4)
jg28828.t1	GO:0046872-metal ion binding(L=4)
jg28967.t1	GO:0016799-hydrolase activity, hydrolyzing N-glycosyl compounds(L=4)
jg28904.t1	GO:0042578-phosphoric ester hydrolase activity(L=4)
jg28904.t1	GO:0046872-metal ion binding(L=4)
jg29422.t1	GO:0046872-metal ion binding(L=4)
jg28877.t1	GO:0001883-purine nucleoside binding(L=4)
jg28877.t1	GO:0017076-purine nucleotide binding(L=4)
jg28877.t1	GO:0032549-ribonucleoside binding(L=4)
jg28877.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg28877.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg28942.t1	GO:0008168-methyltransferase activity(L=4)
jg28942.t1	GO:0046872-metal ion binding(L=4)
jg28815.t1	GO:0003677-DNA binding(L=4)
jg29318.t1	GO:0042578-phosphoric ester hydrolase activity(L=4)
jg30245.t1	GO:0015036-disulfide oxidoreductase activity(L=4)
jg29333.t1	GO:0001883-purine nucleoside binding(L=4)
jg29333.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg29333.t1	GO:0017076-purine nucleotide binding(L=4)
jg29333.t1	GO:0032549-ribonucleoside binding(L=4)
jg29333.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg29333.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg29361.t1	GO:0003677-DNA binding(L=4)
jg29361.t1	GO:0003906-DNA-(apurinic or apyrimidinic site) lyase activity(L=4)
jg29361.t1	GO:0004518-nuclease activity(L=4)
jg29361.t1	GO:0016799-hydrolase activity, hydrolyzing N-glycosyl compounds(L=4)
jg29361.t1	GO:0046872-metal ion binding(L=4)
jg29361.t1	GO:0051539-4 iron, 4 sulfur cluster binding(L=4)
jg29288.t1	GO:0016624-oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor(L=4)
jg29863.t1	GO:0004518-nuclease activity(L=4)
jg19116.t1	GO:0003723-RNA binding(L=4)
jg19116.t1	GO:0046872-metal ion binding(L=4)
jg29234.t1	GO:0001883-purine nucleoside binding(L=4)
jg29234.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg29234.t1	GO:0015399-primary active transmembrane transporter activity(L=4)
jg29234.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg29234.t1	GO:0016820-hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances(L=4)
jg29234.t1	GO:0017076-purine nucleotide binding(L=4)
jg29234.t1	GO:0032549-ribonucleoside binding(L=4)
jg29234.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg29234.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg29234.t1	GO:0046872-metal ion binding(L=4)
jg30161.t1	GO:0003723-RNA binding(L=4)
jg30161.t1	GO:0016779-nucleotidyltransferase activity(L=4)
jg30161.t1	GO:0020037-heme binding(L=4)
jg30161.t1	GO:0046872-metal ion binding(L=4)
jg29511.t1	GO:0001883-purine nucleoside binding(L=4)
jg29511.t1	GO:0003723-RNA binding(L=4)
jg29511.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg29511.t1	GO:0017076-purine nucleotide binding(L=4)
jg29511.t1	GO:0032549-ribonucleoside binding(L=4)
jg29511.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg29511.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg29582.t1	GO:0003677-DNA binding(L=4)
jg29123.t1	GO:0016728-oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor(L=4)
jg29123.t1	GO:0046872-metal ion binding(L=4)
jg30224.t1	GO:0001067-regulatory region nucleic acid binding(L=4)
jg30224.t1	GO:0003677-DNA binding(L=4)
jg29428.t1	GO:0051119-sugar transmembrane transporter activity(L=4)
jg29268.t1	GO:0001883-purine nucleoside binding(L=4)
jg29268.t1	GO:0008483-transaminase activity(L=4)
jg29268.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg29268.t1	GO:0017076-purine nucleotide binding(L=4)
jg29268.t1	GO:0032549-ribonucleoside binding(L=4)
jg29268.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg29268.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg29239.t1	GO:0019902-phosphatase binding(L=4)
jg28987.t1	GO:0003677-DNA binding(L=4)
jg28777.t1	GO:0046872-metal ion binding(L=4)
jg29473.t1	GO:0046872-metal ion binding(L=4)
jg29539.t1	GO:0001883-purine nucleoside binding(L=4)
jg29539.t1	GO:0016301-kinase activity(L=4)
jg29539.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg29539.t1	GO:0017076-purine nucleotide binding(L=4)
jg29539.t1	GO:0032549-ribonucleoside binding(L=4)
jg29539.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg29539.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg29539.t1	GO:0046872-metal ion binding(L=4)
jg29685.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg29685.t1	GO:0015291-secondary active transmembrane transporter activity(L=4)
jg29690.t1	GO:0001883-purine nucleoside binding(L=4)
jg29690.t1	GO:0008168-methyltransferase activity(L=4)
jg29690.t1	GO:0015645-fatty acid ligase activity(L=4)
jg29690.t1	GO:0016405-CoA-ligase activity(L=4)
jg29690.t1	GO:0016878-acid-thiol ligase activity(L=4)
jg29690.t1	GO:0017076-purine nucleotide binding(L=4)
jg29690.t1	GO:0032549-ribonucleoside binding(L=4)
jg29690.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg29690.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg29690.t1	GO:0042803-protein homodimerization activity(L=4)
jg29330.t1	GO:0016780-phosphotransferase activity, for other substituted phosphate groups(L=4)
jg29587.t1	GO:0016298-lipase activity(L=4)
jg29587.t1	GO:0052689-carboxylic ester hydrolase activity(L=4)
jg30315.t1	GO:0004553-hydrolase activity, hydrolyzing O-glycosyl compounds(L=4)
jg30315.t1	GO:0016758-transferase activity, transferring hexosyl groups(L=4)
jg30266.t1	GO:0004518-nuclease activity(L=4)
jg31076.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg28911.t1	GO:0001883-purine nucleoside binding(L=4)
jg28911.t1	GO:0016301-kinase activity(L=4)
jg28911.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg28911.t1	GO:0017076-purine nucleotide binding(L=4)
jg28911.t1	GO:0032549-ribonucleoside binding(L=4)
jg28911.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg28911.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg29671.t1	GO:0003723-RNA binding(L=4)
jg29671.t1	GO:0008168-methyltransferase activity(L=4)
jg30296.t1	GO:0001883-purine nucleoside binding(L=4)
jg30296.t1	GO:0003723-RNA binding(L=4)
jg30296.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg30296.t1	GO:0017076-purine nucleotide binding(L=4)
jg30296.t1	GO:0032549-ribonucleoside binding(L=4)
jg30296.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg30296.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg29758.t1	GO:0001883-purine nucleoside binding(L=4)
jg29758.t1	GO:0015291-secondary active transmembrane transporter activity(L=4)
jg29758.t1	GO:0016702-oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen(L=4)
jg29758.t1	GO:0017076-purine nucleotide binding(L=4)
jg29758.t1	GO:0032549-ribonucleoside binding(L=4)
jg29758.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg29758.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg29267.t1	GO:0001883-purine nucleoside binding(L=4)
jg29267.t1	GO:0008483-transaminase activity(L=4)
jg29267.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg29267.t1	GO:0017076-purine nucleotide binding(L=4)
jg29267.t1	GO:0032549-ribonucleoside binding(L=4)
jg29267.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg29267.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg28872.t1	GO:0003677-DNA binding(L=4)
jg29204.t1	GO:0001883-purine nucleoside binding(L=4)
jg29204.t1	GO:0016301-kinase activity(L=4)
jg29204.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg29204.t1	GO:0017076-purine nucleotide binding(L=4)
jg29204.t1	GO:0032549-ribonucleoside binding(L=4)
jg29204.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg29204.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg29209.t1	GO:0042578-phosphoric ester hydrolase activity(L=4)
jg29209.t1	GO:0046872-metal ion binding(L=4)
jg2048.t1	GO:0004364-glutathione transferase activity(L=4)
jg7255.t1	GO:0003677-DNA binding(L=4)
jg25451.t1	GO:0016779-nucleotidyltransferase activity(L=4)
jg1576.t1	GO:0004842-ubiquitin-protein transferase activity(L=4)
jg1576.t1	GO:0008168-methyltransferase activity(L=4)
jg1576.t1	GO:0016298-lipase activity(L=4)
jg1576.t1	GO:0016881-acid-amino acid ligase activity(L=4)
jg1576.t1	GO:0046872-metal ion binding(L=4)
jg1576.t1	GO:0052689-carboxylic ester hydrolase activity(L=4)
jg2648.t1	GO:0016620-oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor(L=4)
jg2648.t1	GO:0016628-oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor(L=4)
jg1983.t1	GO:0001883-purine nucleoside binding(L=4)
jg1983.t1	GO:0003677-DNA binding(L=4)
jg1983.t1	GO:0003723-RNA binding(L=4)
jg1983.t1	GO:0016301-kinase activity(L=4)
jg1983.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg1983.t1	GO:0016779-nucleotidyltransferase activity(L=4)
jg1983.t1	GO:0017076-purine nucleotide binding(L=4)
jg1983.t1	GO:0020037-heme binding(L=4)
jg1983.t1	GO:0032549-ribonucleoside binding(L=4)
jg1983.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg1983.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg1983.t1	GO:0046872-metal ion binding(L=4)
jg1508.t1	GO:0016747-transferase activity, transferring acyl groups other than amino-acyl groups(L=4)
jg20436.t1	GO:0042578-phosphoric ester hydrolase activity(L=4)
jg22304.t1	GO:0001883-purine nucleoside binding(L=4)
jg22304.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg22304.t1	GO:0017076-purine nucleotide binding(L=4)
jg22304.t1	GO:0032549-ribonucleoside binding(L=4)
jg22304.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg22304.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg22304.t1	GO:0046872-metal ion binding(L=4)
jg22304.t1	GO:0070011-peptidase activity, acting on L-amino acid peptides(L=4)
jg2163.t1	GO:0001883-purine nucleoside binding(L=4)
jg2163.t1	GO:0016616-oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(L=4)
jg2163.t1	GO:0017076-purine nucleotide binding(L=4)
jg2163.t1	GO:0031406-carboxylic acid binding(L=4)
jg2163.t1	GO:0032549-ribonucleoside binding(L=4)
jg2163.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg2163.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg2163.t1	GO:0051287-NAD binding(L=4)
jg2098.t1	GO:0003677-DNA binding(L=4)
jg2098.t1	GO:0005342-organic acid transmembrane transporter activity(L=4)
jg2098.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg2098.t1	GO:0046872-metal ion binding(L=4)
jg2098.t1	GO:0070011-peptidase activity, acting on L-amino acid peptides(L=4)
jg1926.t1	GO:0001883-purine nucleoside binding(L=4)
jg1926.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg1926.t1	GO:0017076-purine nucleotide binding(L=4)
jg1926.t1	GO:0032549-ribonucleoside binding(L=4)
jg1926.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg1926.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg23430.t1	GO:0016301-kinase activity(L=4)
jg23430.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg23430.t1	GO:0042578-phosphoric ester hydrolase activity(L=4)
jg2652.t1	GO:0003723-RNA binding(L=4)
jg1647.t1	GO:0001883-purine nucleoside binding(L=4)
jg1647.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg1647.t1	GO:0017076-purine nucleotide binding(L=4)
jg1647.t1	GO:0032549-ribonucleoside binding(L=4)
jg1647.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg1647.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg2182.t1	GO:0003723-RNA binding(L=4)
jg2182.t1	GO:0008168-methyltransferase activity(L=4)
jg2182.t1	GO:0016779-nucleotidyltransferase activity(L=4)
jg6070.t1	GO:0001067-regulatory region nucleic acid binding(L=4)
jg6070.t1	GO:0003677-DNA binding(L=4)
jg3875.t1	GO:0001883-purine nucleoside binding(L=4)
jg3875.t1	GO:0003677-DNA binding(L=4)
jg3875.t1	GO:0003723-RNA binding(L=4)
jg3875.t1	GO:0004518-nuclease activity(L=4)
jg3875.t1	GO:0004842-ubiquitin-protein transferase activity(L=4)
jg3875.t1	GO:0016641-oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor(L=4)
jg3875.t1	GO:0016682-oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor(L=4)
jg3875.t1	GO:0016702-oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen(L=4)
jg3875.t1	GO:0016706-oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors(L=4)
jg3875.t1	GO:0016779-nucleotidyltransferase activity(L=4)
jg3875.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg3875.t1	GO:0016881-acid-amino acid ligase activity(L=4)
jg3875.t1	GO:0017076-purine nucleotide binding(L=4)
jg3875.t1	GO:0030695-GTPase regulator activity(L=4)
jg3875.t1	GO:0031406-carboxylic acid binding(L=4)
jg3875.t1	GO:0031418-L-ascorbic acid binding(L=4)
jg3875.t1	GO:0032549-ribonucleoside binding(L=4)
jg3875.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg3875.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg3875.t1	GO:0046872-metal ion binding(L=4)
jg3875.t1	GO:0046993-oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond, with oxygen as acceptor(L=4)
jg3875.t1	GO:0070011-peptidase activity, acting on L-amino acid peptides(L=4)
jg2201.t1	GO:0016747-transferase activity, transferring acyl groups other than amino-acyl groups(L=4)
jg34930.t1	GO:0003723-RNA binding(L=4)
jg15876.t1	GO:0003723-RNA binding(L=4)
jg15876.t1	GO:0030695-GTPase regulator activity(L=4)
jg16852.t1	GO:0001883-purine nucleoside binding(L=4)
jg16852.t1	GO:0016301-kinase activity(L=4)
jg16852.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg16852.t1	GO:0017076-purine nucleotide binding(L=4)
jg16852.t1	GO:0032549-ribonucleoside binding(L=4)
jg16852.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg16852.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg2492.t1	GO:0001883-purine nucleoside binding(L=4)
jg2492.t1	GO:0016301-kinase activity(L=4)
jg2492.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg2492.t1	GO:0017076-purine nucleotide binding(L=4)
jg2492.t1	GO:0032549-ribonucleoside binding(L=4)
jg2492.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg2492.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg2458.t1	GO:0001883-purine nucleoside binding(L=4)
jg2458.t1	GO:0016301-kinase activity(L=4)
jg2458.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg2458.t1	GO:0017076-purine nucleotide binding(L=4)
jg2458.t1	GO:0032549-ribonucleoside binding(L=4)
jg2458.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg2458.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg2458.t1	GO:0046872-metal ion binding(L=4)
jg36629.t1	GO:0003723-RNA binding(L=4)
jg427.t1	GO:0046872-metal ion binding(L=4)
jg427.t1	GO:0070011-peptidase activity, acting on L-amino acid peptides(L=4)
jg2387.t1	GO:0003677-DNA binding(L=4)
jg2238.t1	GO:0003677-DNA binding(L=4)
jg2238.t1	GO:0016987-sigma factor activity(L=4)
jg1386.t1	GO:0046872-metal ion binding(L=4)
jg2428.t1	GO:0042578-phosphoric ester hydrolase activity(L=4)
jg2428.t1	GO:0046872-metal ion binding(L=4)
jg1872.t1	GO:0001883-purine nucleoside binding(L=4)
jg1872.t1	GO:0003677-DNA binding(L=4)
jg1872.t1	GO:0016298-lipase activity(L=4)
jg1872.t1	GO:0016301-kinase activity(L=4)
jg1872.t1	GO:0017076-purine nucleotide binding(L=4)
jg1872.t1	GO:0019210-kinase inhibitor activity(L=4)
jg1872.t1	GO:0019887-protein kinase regulator activity(L=4)
jg1872.t1	GO:0032549-ribonucleoside binding(L=4)
jg1872.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg1872.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg1872.t1	GO:0045309-protein phosphorylated amino acid binding(L=4)
jg1872.t1	GO:0046872-metal ion binding(L=4)
jg1872.t1	GO:0052689-carboxylic ester hydrolase activity(L=4)
jg3656.t1	GO:0001883-purine nucleoside binding(L=4)
jg3656.t1	GO:0004659-prenyltransferase activity(L=4)
jg3656.t1	GO:0016301-kinase activity(L=4)
jg3656.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg3656.t1	GO:0017076-purine nucleotide binding(L=4)
jg3656.t1	GO:0032549-ribonucleoside binding(L=4)
jg3656.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg3656.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg3656.t1	GO:0046872-metal ion binding(L=4)
jg3656.t1	GO:0052381-tRNA dimethylallyltransferase activity(L=4)
jg698.t1	GO:0003723-RNA binding(L=4)
jg32173.t1	GO:0008158-hedgehog receptor activity(L=4)
jg14166.t1	GO:0003677-DNA binding(L=4)
jg14166.t1	GO:0003906-DNA-(apurinic or apyrimidinic site) lyase activity(L=4)
jg14166.t1	GO:0016799-hydrolase activity, hydrolyzing N-glycosyl compounds(L=4)
jg2523.t1	GO:0046872-metal ion binding(L=4)
jg34662.t1	GO:0001883-purine nucleoside binding(L=4)
jg34662.t1	GO:0016301-kinase activity(L=4)
jg34662.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg34662.t1	GO:0017076-purine nucleotide binding(L=4)
jg34662.t1	GO:0032549-ribonucleoside binding(L=4)
jg34662.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg34662.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg2429.t1	GO:0001883-purine nucleoside binding(L=4)
jg2429.t1	GO:0003723-RNA binding(L=4)
jg2429.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg2429.t1	GO:0017076-purine nucleotide binding(L=4)
jg2429.t1	GO:0032549-ribonucleoside binding(L=4)
jg2429.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg2429.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg4048.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg4048.t1	GO:0015165-pyrimidine nucleotide-sugar transmembrane transporter activity(L=4)
jg4048.t1	GO:0015932-nucleobase-containing compound transmembrane transporter activity(L=4)
jg4048.t1	GO:0036080-purine nucleotide-sugar transmembrane transporter activity(L=4)
jg2157.t1	GO:0001883-purine nucleoside binding(L=4)
jg2157.t1	GO:0005096-GTPase activator activity(L=4)
jg2157.t1	GO:0016301-kinase activity(L=4)
jg2157.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg2157.t1	GO:0017076-purine nucleotide binding(L=4)
jg2157.t1	GO:0030695-GTPase regulator activity(L=4)
jg2157.t1	GO:0032549-ribonucleoside binding(L=4)
jg2157.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg2157.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg32167.t1	GO:0005342-organic acid transmembrane transporter activity(L=4)
jg32167.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg2299.t1	GO:0003723-RNA binding(L=4)
jg2299.t1	GO:0046872-metal ion binding(L=4)
jg1684.t1	GO:0003677-DNA binding(L=4)
jg21703.t1	GO:0003677-DNA binding(L=4)
jg21444.t1	GO:0001883-purine nucleoside binding(L=4)
jg21444.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg21444.t1	GO:0017076-purine nucleotide binding(L=4)
jg21444.t1	GO:0032549-ribonucleoside binding(L=4)
jg21444.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg21444.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg1460.t1	GO:0003723-RNA binding(L=4)
jg1460.t1	GO:0009982-pseudouridine synthase activity(L=4)
jg1496.t1	GO:0003723-RNA binding(L=4)
jg1496.t1	GO:0050660-flavin adenine dinucleotide binding(L=4)
jg1330.t1	GO:0001883-purine nucleoside binding(L=4)
jg1330.t1	GO:0017076-purine nucleotide binding(L=4)
jg1330.t1	GO:0032549-ribonucleoside binding(L=4)
jg1330.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg1330.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg1800.t1	GO:0003723-RNA binding(L=4)
jg1800.t1	GO:0004637-phosphoribosylamine-glycine ligase activity(L=4)
jg1800.t1	GO:0043022-ribosome binding(L=4)
jg9707.t1	GO:0046872-metal ion binding(L=4)
jg2195.t1	GO:0003677-DNA binding(L=4)
jg1767.t1	GO:0016616-oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(L=4)
jg1767.t1	GO:0016620-oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor(L=4)
jg1767.t1	GO:0033764-steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(L=4)
jg17655.t1	GO:0003677-DNA binding(L=4)
jg5041.t1	GO:0008168-methyltransferase activity(L=4)
jg1446.t1	GO:0001883-purine nucleoside binding(L=4)
jg1446.t1	GO:0017076-purine nucleotide binding(L=4)
jg1446.t1	GO:0032549-ribonucleoside binding(L=4)
jg1446.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg1446.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg14657.t1	GO:0003723-RNA binding(L=4)
jg20202.t1	GO:0003677-DNA binding(L=4)
jg20202.t1	GO:0016298-lipase activity(L=4)
jg20202.t1	GO:0016779-nucleotidyltransferase activity(L=4)
jg20202.t1	GO:0052689-carboxylic ester hydrolase activity(L=4)
jg6799.t1	GO:0001883-purine nucleoside binding(L=4)
jg6799.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg6799.t1	GO:0017076-purine nucleotide binding(L=4)
jg6799.t1	GO:0032549-ribonucleoside binding(L=4)
jg6799.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg6799.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg1543.t1	GO:0003677-DNA binding(L=4)
jg35844.t1	GO:0003677-DNA binding(L=4)
jg2357.t1	GO:0003677-DNA binding(L=4)
jg386.t1	GO:0031406-carboxylic acid binding(L=4)
jg16426.t1	GO:0046872-metal ion binding(L=4)
jg26929.t1	GO:0001067-regulatory region nucleic acid binding(L=4)
jg26929.t1	GO:0003677-DNA binding(L=4)
jg1400.t1	GO:0003677-DNA binding(L=4)
jg1400.t1	GO:0070011-peptidase activity, acting on L-amino acid peptides(L=4)
jg1317.t1	GO:0046872-metal ion binding(L=4)
jg24678.t1	GO:0003723-RNA binding(L=4)
jg24678.t1	GO:0008168-methyltransferase activity(L=4)
jg7114.t1	GO:0015075-ion transmembrane transporter activity(L=4)
