#node	identifier	domain_summary_url	annotation	other_names_and_aliases
PP1S15_351V6.1	3218.PP1S15_351V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=313:Pfam_ThiG(205|295)+	Predicted protein; Belongs to the PdxS/SNZ family	4.3.3.6,5917992,A9RLD0,A9RLD0_PHYPA,EC 4.3.3.6,EDQ80277.1,PHYPADRAFT_176118,PP1S15_351V6,PP1S15_351V6.1,PUT-163a-Physcomitrella_patens-11754,PUT-163a-Physcomitrella_patens-40154634,PUT-163a-Physcomitrella_patens-46317,Ppa.4114,Predicted protein,UPA00245,UPI000161F80D,XM_001754771,XM_001754771.1,XP_001754823,XP_001754823.1,ppp:PHYPADRAFT_176118
PP1S15_409V6.1	3218.PP1S15_409V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=147:Pfam_PsbR(49|146)+	Predicted protein	5917980,A9RLG5,A9RLG5_PHYPA,EDQ80428.1,PHYPADRAFT_109512,PP1S15_409V6,PP1S15_409V6.1,PUT-163a-Physcomitrella_patens-11400,PUT-163a-Physcomitrella_patens-45654632,PUT-163a-Physcomitrella_patens-45654633,PUT-163a-Physcomitrella_patens-46854634,PUT-163a-Physcomitrella_patens-46854635,PUT-163a-Physcomitrella_patens-53321,Ppa.236,Predicted protein,UPI000161F853,XM_001754922,XM_001754922.1,XP_001754974,XP_001754974.1,ppp:PHYPADRAFT_109512
PP1S15_500V6.1	3218.PP1S15_500V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=1038:Pfam_GDC-P(80|508)+Pfam_GDC-P(514|809)+	Glycine cleavage system P protein; The glycine cleavage system catalyzes the degradation of glycine	1.4.4.2,5918188,A9RLL8,A9RLL8_PHYPA,EC 1.4.4.2,Glycine cleavage system P protein,PHYPADRAFT_176216,PP1S15_500V6,PP1S15_500V6.1,PUT-163a-Physcomitrella_patens-1227,PUT-163a-Physcomitrella_patens-32358,PUT-163a-Physcomitrella_patens-33554632,PUT-163a-Physcomitrella_patens-40124,PUT-163a-Physcomitrella_patens-72554633,PUT-163a-Physcomitrella_patens-72554634,PUT-163a-Physcomitrella_patens-72554635,Predicted protein,XM_001754952,XM_001754952.1,XP_001754864,XP_001754864.1,XP_001755004,XP_001755004.1,ppp:PHYPADRAFT_176216
PP1S162_117V6.2	3218.PP1S162_117V6.2	https://smart.embl.de/smart/DDvec.cgi?smart=1289:FN3(249|344)+FN3(365|457)+FN3(472|552)+FN3(567|649)+FN3(664|757)+FN3(772|971)+FN3(983|1103)+FN3(1118|1199)+	Predicted protein	5936616,A9T487,A9T487_PHYPA,EDQ61765.1,PHYPADRAFT_167969,PP1S162_117V6,PP1S162_117V6.1,PP1S162_117V6.2,PUT-163a-Physcomitrella_patens-44854636,PUT-163a-Physcomitrella_patens-7107,Ppa.13585,Predicted protein,UPI00016238D4,UPI00024ADADA,XM_001773340,XM_001773340.1,XP_001773392,XP_001773392.1,ppp:PHYPADRAFT_167969
PP1S162_132V6.1	3218.PP1S162_132V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=407:WD40(125|166)+WD40(170|208)+WD40(258|297)+WD40(300|340)+	Predicted protein	5936653,A9T493,A9T493_PHYPA,EDQ61814.1,PHYPADRAFT_218754,PP1S162_132V6,PP1S162_132V6.1,PUT-163a-Physcomitrella_patens-32935,Ppa.9086,Predicted protein,UPI00016239CE,XM_001773389,XM_001773389.1,XP_001773441,XP_001773441.1,ppp:PHYPADRAFT_218754
PP1S166_60V6.1	3218.PP1S166_60V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=559:SIGNAL(1|25)+Pfam_Pur_ac_phosph_N(74|185)+Pfam_Metallophos(196|410)+Pfam_Metallophos_C(470|525)+	Purple acid phosphatase	5936946,A9T525,A9T525_PHYPA,EDQ61460.1,PHYPADRAFT_191689,PP1S166_60V6,PP1S166_60V6.1,PUT-163a-Physcomitrella_patens-10386,PUT-163a-Physcomitrella_patens-7934,PUT-163a-Physcomitrella_patens-7957,Ppa.12675,Ppa.13127,Predicted protein,Purple acid phosphatase,UPI0001623AE8,XM_001773651,XM_001773651.1,XP_001773703,XP_001773703.1,ppp:PHYPADRAFT_191689
PP1S169_153V6.1	3218.PP1S169_153V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=745:CULLIN(421|570)+Cullin_Nedd8(672|739)+	Predicted protein; Belongs to the cullin family	5937135,A9T5R6,A9T5R6_PHYPA,EDQ61261.1,PHYPADRAFT_107536,PP1S169_153V6,PP1S169_153V6.1,PUT-163a-Physcomitrella_patens-42554632,PUT-163a-Physcomitrella_patens-42554633,PUT-163a-Physcomitrella_patens-53397,Ppa.9670,Predicted protein,UPI00016236DB,XM_001773861,XM_001773861.1,XP_001773913,XP_001773913.1,ppp:PHYPADRAFT_107536
PP1S169_156V6.1	3218.PP1S169_156V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=958:Pfam_PEPcase(160|958)+	Predicted protein	4.1.1.31,5937165,A9T5R9,A9T5R9_PHYPA,EC 4.1.1.31,EDQ61312.1,PHYPADRAFT_88444,PP1S169_156V6,PP1S169_156V6.1,PWY-241,PWY-6146,Predicted protein,UPI00016236DE,XM_001773912,XM_001773912.1,XP_001773964,XP_001773964.1,ppp:PHYPADRAFT_88444
PP1S176_120V6.1	3218.PP1S176_120V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=779:Pfam_zf-Sec23_Sec24(62|100)+Pfam_Sec23_trunk(128|404)+Pfam_Sec23_BS(414|519)+Pfam_Sec23_helical(535|634)+Pfam_Gelsolin(645|735)+	Predicted protein	5937631,A9T752,A9T752_PHYPA,EDQ60805.1,PHYPADRAFT_107601,PP1S176_120V6,PP1S176_120V6.1,PUT-163a-Physcomitrella_patens-41007,Predicted protein,UPI000162471B,XM_001774390,XM_001774390.1,XP_001774442,XP_001774442.1,ppp:PHYPADRAFT_107601
PP1S17_366V6.1	3218.PP1S17_366V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=354:Pfam_Aldo_ket_red(21|311)+	Predicted protein	5918461,A9RMV1,A9RMV1_PHYPA,EDQ79935.1,PHYPADRAFT_176547,PP1S17_366V6,PP1S17_366V6.1,PUT-163a-Physcomitrella_patens-18170,PUT-163a-Physcomitrella_patens-40100,Ppa.16134,Predicted protein,UPI000161FD98,XM_001755403,XM_001755403.1,XP_001755455,XP_001755455.1,ppp:PHYPADRAFT_176547
PP1S182_93V6.1	3218.PP1S182_93V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=149:Pfam_Glyoxalase(10|138)+	Predicted protein	5938022,A9T8B7,A9T8B7_PHYPA,EDQ60393.1,PHYPADRAFT_107666,PP1S182_93V6,PP1S182_93V6.1,PUT-163a-Physcomitrella_patens-41347,Ppa.5497,Predicted protein,UPI000162506B,XM_001774800,XM_001774800.1,XP_001774852,XP_001774852.1,ppp:PHYPADRAFT_107666
PP1S187_11V6.1	3218.PP1S187_11V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=366:Pfam_KR(23|160)+	Predicted protein	5.1.3.2,5938380,A9T951,A9T951_PHYPA,EC 5.1.3.2,EDQ60024.1,PHYPADRAFT_168734,PP1S187_11V6,PP1S187_11V6.1,PUT-163a-Physcomitrella_patens-29354637,PUT-163a-Physcomitrella_patens-41965,Ppa.16271,Predicted protein,UPI000162517E,XM_001775111,XM_001775111.1,XP_001775163,XP_001775163.1,ppp:PHYPADRAFT_168734
PP1S18_19V6.1	3218.PP1S18_19V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=129:Pfam_SCP2(16|120)+	Predicted protein	5918696,A9RMZ1,A9RMZ1_PHYPA,EDQ79535.1,PHYPADRAFT_204058,PP1S18_19V6,PP1S18_19V6.1,PUT-163a-Physcomitrella_patens-29124,Ppa.6403,Predicted protein,UPI000161FE24,XM_001755423,XM_001755423.1,XP_001755475,XP_001755475.1,ppp:PHYPADRAFT_204058
PP1S18_236V6.1	3218.PP1S18_236V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=182:Pfam_S10_plectin(3|95)+	Predicted protein	5918806,A9RNA9,A9RNA9_PHYPA,EDQ79679.1,PHYPADRAFT_176644,PP1S18_236V6,PP1S18_236V6.1,PUT-163a-Physcomitrella_patens-10854639,PUT-163a-Physcomitrella_patens-11154636,Ppa.14604,Ppa.6057,Predicted protein,UPI000161FC47,XM_001755567,XM_001755567.1,XP_001755619,XP_001755619.1,ppp:PHYPADRAFT_176644
PP1S18_84V6.1	3218.PP1S18_84V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=157:Pfam_Sod_Cu(10|151)+	Superoxide dismutase [Cu-Zn]; Destroys radicals which are normally produced within the cells and which are toxic to biological systems; Belongs to the Cu-Zn superoxide dismutase family	1.15.1.1,5918827,A9RN26,A9RN26_PHYPA,EC 1.15.1.1,EDQ79642.1,PHYPADRAFT_176592,PP1S18_84V6,PP1S18_84V6.1,PUT-163a-Physcomitrella_patens-50127,PUT-163a-Physcomitrella_patens-50156,PUT-163a-Physcomitrella_patens-52043,Ppa.3388,Superoxide dismutase [Cu-Zn],UPI000161FED5,XM_001755530,XM_001755530.1,XP_001755582,XP_001755582.1,ppp:PHYPADRAFT_176592
PP1S190_37V6.2	3218.PP1S190_37V6.2	https://smart.embl.de/smart/DDvec.cgi?smart=390:Pfam_BRE(20|338)+	Predicted protein	5938565,A9T9S0,A9T9S0_PHYPA,EDQ59846.1,PHYPADRAFT_192930,PP1S190_37V6,PP1S190_37V6.1,PP1S190_37V6.2,PUT-163a-Physcomitrella_patens-31881,PUT-163a-Physcomitrella_patens-45426,PUT-163a-Physcomitrella_patens-751,Ppa.2222,Predicted protein,UPI0001624F6B,UPI00024AEDD1,XM_001775324,XM_001775324.1,XP_001775376,XP_001775376.1,ppp:PHYPADRAFT_192930
PP1S190_6V6.1	3218.PP1S190_6V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=608:TRANS(68|90)+Pfam_Glyco_hydro_9(106|574)+	Endoglucanase	5938549,A9T9P3,A9T9P3_PHYPA,EDQ59795.1,Endoglucanase,PHYPADRAFT_89908,PP1S190_6V6,PP1S190_6V6.1,Predicted protein,UPI0001624D5E,XM_001775273,XM_001775273.1,XP_001775325,XP_001775325.1,ppp:PHYPADRAFT_89908
PP1S190_8V6.1	3218.PP1S190_8V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=285:Pfam_Aldo_ket_red(29|273)+	Predicted protein	5938533,A9T9P5,A9T9P5_PHYPA,EDQ59797.1,PHYPADRAFT_107724,PP1S190_8V6,PP1S190_8V6.1,PUT-163a-Physcomitrella_patens-23063,Ppa.3860,Predicted protein,UPI0001624D60,XM_001775275,XM_001775275.1,XP_001775327,XP_001775327.1,ppp:PHYPADRAFT_107724
PP1S196_63V6.1	3218.PP1S196_63V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=157:Pfam_DoxX(4|104)+	Predicted protein	5938971,A9TAW7,A9TAW7_PHYPA,EDQ59421.1,PHYPADRAFT_220472,PP1S196_63V6,PP1S196_63V6.1,PUT-163a-Physcomitrella_patens-8100,Ppa.14196,Predicted protein,UPI0001624762,XM_001775686,XM_001775686.1,XP_001775738,XP_001775738.1,ppp:PHYPADRAFT_220472
PP1S196_66V6.1	3218.PP1S196_66V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=524:Pfam_SET(115|330)+Pfam_Rubis-subs-bind(367|499)+	Predicted protein	2.1.1.43,5938955,A9TAW9,A9TAW9_PHYPA,EC 2.1.1.43,EDQ59422.1,PHYPADRAFT_169005,PP1S196_66V6,PP1S196_66V6.1,PUT-163a-Physcomitrella_patens-23973,Ppa.16770,Predicted protein,UPI0001624764,XM_001775687,XM_001775687.1,XP_001775739,XP_001775739.1,ppp:PHYPADRAFT_169005
PP1S197_115V6.1	3218.PP1S197_115V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=310:JAB_MPN(17|151)+Pfam_MitMem_reg(175|286)+	Predicted protein	5939005,A9TB60,A9TB60_PHYPA,EDQ59397.1,PHYPADRAFT_193347,PP1S197_115V6,PP1S197_115V6.1,PUT-163a-Physcomitrella_patens-5539,Ppa.8005,Predicted protein,UPI0001624C7A,XM_001775806,XM_001775806.1,XP_001775858,XP_001775858.1,ppp:PHYPADRAFT_193347
PP1S197_119V6.1	3218.PP1S197_119V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=275:Pfam_Proteasome(37|218)+	Proteasome subunit beta type; The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH; Belongs to the peptidase T1B family	3.4.25.1,5939006,A9TB62,A9TB62_PHYPA,EC 3.4.25.1,EDQ59398.1,PHYPADRAFT_220600,PP1S197_119V6,PP1S197_119V6.1,PUT-163a-Physcomitrella_patens-17327,PUT-163a-Physcomitrella_patens-30349,Ppa.14182,Proteasome subunit beta type,T01.011,UPI0001624C7C,XM_001775807,XM_001775807.1,XP_001775859,XP_001775859.1,ppp:PHYPADRAFT_220600
PP1S197_130V6.1	3218.PP1S197_130V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=540:Pfam_Sugar_tr(21|509)+	Predicted protein	5939067,A9TB70,A9TB70_PHYPA,EDQ59360.1,PHYPADRAFT_193358,PP1S197_130V6,PP1S197_130V6.1,PUT-163a-Physcomitrella_patens-33398,PUT-163a-Physcomitrella_patens-44347,PUT-163a-Physcomitrella_patens-44942,Ppa.14682,Predicted protein,UPI0001624D78,XM_001775769,XM_001775769.1,XP_001775821,XP_001775821.1,ppp:PHYPADRAFT_193358
PP1S197_146V6.4	3218.PP1S197_146V6.4	https://smart.embl.de/smart/DDvec.cgi?smart=602:Pfam_NIR_SIR_ferr(144|213)+Pfam_NIR_SIR(221|380)+Pfam_NIR_SIR_ferr(403|469)+Pfam_NIR_SIR(478|599)+	Ferredoxin-nitrite reductase	1.7.7.1,5939013,A9TB73,E1C9M2,E1C9M2_PHYPA,EC 1.7.7.1,EDQ59363.1,Ferredoxin-nitrite reductase,Nii1,Nitrite reductase,PHYPADRAFT_193361,PP1S197_146V6,PP1S197_146V6.1,PP1S197_146V6.2,PP1S197_146V6.3,PP1S197_146V6.4,PUT-163a-Physcomitrella_patens-13654636,PUT-163a-Physcomitrella_patens-13854633,PUT-163a-Physcomitrella_patens-13854634,PUT-163a-Physcomitrella_patens-34865,PUT-163a-Physcomitrella_patens-39592,PUT-163a-Physcomitrella_patens-40538,PUT-163a-Physcomitrella_patens-41292,PUT-163a-Physcomitrella_patens-5004,PpNii1,Ppa.193,Predicted protein,Q8LSZ5,Q8LSZ5_PHYPA,UPI00000A752A,XM_001775772,XM_001775772.1,XP_001775824,XP_001775824.1,ppp:PHYPADRAFT_193361
PP1S197_41V6.1	3218.PP1S197_41V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=1214:Pfam_MMS1_N(75|590)+Pfam_CPSF_A(859|1182)+	Predicted protein	5939000,A9TB22,A9TB22_PHYPA,EDQ59379.1,PHYPADRAFT_90420,PP1S197_41V6,PP1S197_41V6.1,Predicted protein,UPI0001624A51,XM_001775788,XM_001775788.1,XP_001775840,XP_001775840.1,ppp:PHYPADRAFT_90420
PP1S197_70V6.2	3218.PP1S197_70V6.2	https://smart.embl.de/smart/DDvec.cgi?smart=482:DEXDc(63|263)+HELICc(302|383)+	Predicted protein; Belongs to the DEAD box helicase family	3.6.4.13,5939052,A9TB38,A9TB38_PHYPA,EC 3.6.4.13,EDQ59387.1,PHYPADRAFT_220567,PP1S197_70V6,PP1S197_70V6.1,PP1S197_70V6.2,PUT-163a-Physcomitrella_patens-10050,PUT-163a-Physcomitrella_patens-18296,PUT-163a-Physcomitrella_patens-22081,Ppa.4057,Predicted protein,UPI0001624B6C,XM_001775796,XM_001775796.1,XP_001775848,XP_001775848.1,ppp:PHYPADRAFT_220567
PP1S197_92V6.1	3218.PP1S197_92V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=638:Pfam_Ras(10|172)+EFh(192|220)+Pfam_EF_assoc_2(223|310)+EFh(313|341)+Pfam_EF_assoc_1(346|414)+TRANS(610|632)+	Mitochondrial Rho GTPase 	3.6.5.-,5939056,A9TB50,A9TB50_PHYPA,EC 3.6.5.-,EDQ59391.1,Mitochondrial Rho GTPase,PHYPADRAFT_193338,PP1S197_92V6,PP1S197_92V6.1,PP1S197_92V6.2,PUT-163a-Physcomitrella_patens-29798,PUT-163a-Physcomitrella_patens-40008,Ppa.5026,UPI0001624C70,UPI00024AD693,XM_001775800,XM_001775800.1,XP_001775852,XP_001775852.1,ppp:PHYPADRAFT_193338
PP1S198_70V6.1	3218.PP1S198_70V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=330:C2(22|124)+TRANS(305|327)+	Predicted protein	5939144,A9TBB9,A9TBB9_PHYPA,EDQ59295.1,PHYPADRAFT_169108,PP1S198_70V6,PP1S198_70V6.1,PUT-163a-Physcomitrella_patens-3799,PUT-163a-Physcomitrella_patens-42086,Ppa.3170,Predicted protein,UPI00016250A1,XM_001775878,XM_001775878.1,XP_001775930,XP_001775930.1,ppp:PHYPADRAFT_169108
PP1S198_75V6.1	3218.PP1S198_75V6.1	http://smart.embl.de/smart/DDt.cgi?smart=243:	Predicted protein	5939146,A9TBC1,A9TBC1_PHYPA,EDQ59251.1,PHYPADRAFT_169111,PP1S198_75V6,PP1S198_75V6.1,PUT-163a-Physcomitrella_patens-73854635,PUT-163a-Physcomitrella_patens-73854636,Ppa.7374,Predicted protein,UPI00016250A3,XM_001775834,XM_001775834.1,XP_001775886,XP_001775886.1,ppp:PHYPADRAFT_169111
PP1S198_96V6.1	3218.PP1S198_96V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=452:Pfam_FmdA_AmdA(12|413)+	Predicted protein	3.5.1.49,5939150,A9TBD0,A9TBD0_PHYPA,EC 3.5.1.49,EDQ59301.1,PHYPADRAFT_220670,PP1S198_96V6,PP1S198_96V6.1,PUT-163a-Physcomitrella_patens-44433,Predicted protein,UPI00016250AC,XM_001775884,XM_001775884.1,XP_001775936,XP_001775936.1,ppp:PHYPADRAFT_220670
PP1S199_130V6.2	3218.PP1S199_130V6.2	https://smart.embl.de/smart/DDvec.cgi?smart=445:Pfam_AAA(161|308)+	Predicted protein	5939223,A9TBP0,A9TBP0_PHYPA,EDQ59227.1,PHYPADRAFT_169178,PP1S199_130V6,PP1S199_130V6.1,PP1S199_130V6.2,PP1S199_130V6.3,PUT-163a-Physcomitrella_patens-10438,PUT-163a-Physcomitrella_patens-12516,PUT-163a-Physcomitrella_patens-16776,PUT-163a-Physcomitrella_patens-2254638,PUT-163a-Physcomitrella_patens-2254639,PUT-163a-Physcomitrella_patens-25182,PUT-163a-Physcomitrella_patens-26332,PUT-163a-Physcomitrella_patens-26336,PUT-163a-Physcomitrella_patens-26751,PUT-163a-Physcomitrella_patens-28058,PUT-163a-Physcomitrella_patens-2954634,PUT-163a-Physcomitrella_patens-37997,PUT-163a-Physcomitrella_patens-4068,PUT-163a-Physcomitrella_patens-40730,PUT-163a-Physcomitrella_patens-45709,PUT-163a-Physcomitrella_patens-53524,PUT-163a-Physcomitrella_patens-53553,PUT-163a-Physcomitrella_patens-53562,PUT-163a-Physcomitrella_patens-53608,PUT-163a-Physcomitrella_patens-53656,PUT-163a-Physcomitrella_patens-53801,PUT-163a-Physcomitrella_patens-53901,PUT-163a-Physcomitrella_patens-69554634,PUT-163a-Physcomitrella_patens-69554635,PUT-163a-Physcomitrella_patens-69554636,PUT-163a-Physcomitrella_patens-69554637,PUT-163a-Physcomitrella_patens-69554638,PUT-163a-Physcomitrella_patens-69554639,PUT-163a-Physcomitrella_patens-69554640,PUT-163a-Physcomitrella_patens-69554641,PUT-163a-Physcomitrella_patens-69654632,PUT-163a-Physcomitrella_patens-71154633,Ppa.7011,Predicted protein,UPI0001624866,UPI00024AE2CC,UPI00024AE2CD,XM_001775983,XM_001775983.1,XP_001776035,XP_001776035.1,ppp:PHYPADRAFT_169178
PP1S199_23V6.1	3218.PP1S199_23V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=215:Pfam_DUF814(8|99)+COIL(157|191)+	Predicted protein	5939167,A9TBI7,A9TBI7_PHYPA,EDQ59158.1,PHYPADRAFT_107835,PP1S199_23V6,PP1S199_23V6.1,PUT-163a-Physcomitrella_patens-22680,Ppa.6464,Predicted protein,UPI00016253BB,XM_001775914,XM_001775914.1,XP_001775966,XP_001775966.1,ppp:PHYPADRAFT_107835
PP1S1_300V6.1	3218.PP1S1_300V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=339:Pfam_FBPase(13|201)+	Uncharacterized protein; Belongs to the FBPase class 1 family	3.1.3.11,5914626,A9RB75,A9RB75_PHYPA,EC 3.1.3.11,EDQ83824.1,PHYPADRAFT_111251,PP1S1_300V6,PP1S1_300V6.1,PP1S1_300V6.2,PUT-163a-Physcomitrella_patens-23054641,PUT-163a-Physcomitrella_patens-23554640,PUT-163a-Physcomitrella_patens-23554641,PUT-163a-Physcomitrella_patens-23654632,PUT-163a-Physcomitrella_patens-8640,Ppa.1089,UPI000161ED02,Uncharacterized protein,XM_001751455,XM_001751455.1,XP_001751507,XP_001751507.1,ppp:PHYPADRAFT_111251
PP1S1_302V6.1	3218.PP1S1_302V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=342:SIGNAL(1|33)+Pfam_peroxidase(60|306)+	Peroxidase; Removal of H(2)O(2), oxidation of toxic reductants, biosynthesis and degradation of lignin, suberization, auxin catabolism, response to environmental stresses such as wounding, pathogen attack and oxidative stress	1.11.1.7,5914427,A9RB76,A9RB76_PHYPA,EC 1.11.1.7,EDQ83825.1,PHYPADRAFT_110959,PP1S1_302V6,PP1S1_302V6.1,Peroxidase,UPI000161ED03,Uncharacterized protein,XM_001751456,XM_001751456.1,XP_001751508,XP_001751508.1,ppp:PHYPADRAFT_110959
PP1S1_789V6.2	3218.PP1S1_789V6.2	http://smart.embl.de/smart/DDt.cgi?smart=144:	Uncharacterized protein	5914649,A9RC00,A9RC00_PHYPA,EDQ83721.1,PHYPADRAFT_158499,PP1S1_789V6,PP1S1_789V6.1,PP1S1_789V6.2,PUT-163a-Physcomitrella_patens-34719,PUT-163a-Physcomitrella_patens-38974,PUT-163a-Physcomitrella_patens-39021,Ppa.6584,UPI000161EEE2,Uncharacterized protein,XM_001751352,XM_001751352.1,XP_001751404,XP_001751404.1,ppp:PHYPADRAFT_158499
PP1S200_12V6.1	3218.PP1S200_12V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=469:Jacalin(17|140)+Jacalin(167|291)+Jacalin(321|462)+	Predicted protein	5939283,A9TBR3,A9TBR3_PHYPA,EDQ59088.1,PHYPADRAFT_169186,PP1S200_12V6,PP1S200_12V6.1,PUT-163a-Physcomitrella_patens-9586,PUT-163a-Physcomitrella_patens-9716,PUT-163a-Physcomitrella_patens-9718,PUT-163a-Physcomitrella_patens-9720,PUT-163a-Physcomitrella_patens-9721,PUT-163a-Physcomitrella_patens-9723,Ppa.15925,Ppa.2475,Predicted protein,UPI000162495F,XM_001775991,XM_001775991.1,XP_001776043,XP_001776043.1,ppp:PHYPADRAFT_169186
PP1S209_70V6.1	3218.PP1S209_70V6.1	http://smart.embl.de/smart/DDt.cgi?smart=604:	Predicted protein	5939856,A9TDI7,A9TDI7_PHYPA,EDQ58528.1,PHYPADRAFT_169439,PP1S209_70V6,PP1S209_70V6.1,PUT-163a-Physcomitrella_patens-54254635,PUT-163a-Physcomitrella_patens-54254636,Ppa.4781,Predicted protein,UPI0001624DBA,XM_001776640,XM_001776640.1,XP_001776692,XP_001776692.1,ppp:PHYPADRAFT_169439
PP1S20_291V6.1	3218.PP1S20_291V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=485:AdoHcyase_NAD(240|403)+	Adenosylhomocysteinase	3.3.1.1,5919145,A9RPK9,A9RPK9_PHYPA,Adenosylhomocysteinase,EC 3.3.1.1,EDQ79211.1,PHYPADRAFT_117476,PP1S20_291V6,PP1S20_291V6.1,PUT-163a-Physcomitrella_patens-28183,PUT-163a-Physcomitrella_patens-53054635,PUT-163a-Physcomitrella_patens-6562,Predicted protein,UPI00016200AE,XM_001755874,XM_001755874.1,XP_001755926,XP_001755926.1,ppp:PHYPADRAFT_117476
PP1S20_373V6.2	3218.PP1S20_373V6.2	https://smart.embl.de/smart/DDvec.cgi?smart=422:Pfam_FBPase(86|287)+	Predicted protein; Belongs to the FBPase class 1 family	3.1.3.11,5919203,A9RP60,A9RP60_PHYPA,EC 3.1.3.11,EDQ79323.1,PHYPADRAFT_204471,PP1S20_373V6,PP1S20_373V6.1,PP1S20_373V6.2,PUT-163a-Physcomitrella_patens-1750,PUT-163a-Physcomitrella_patens-37754635,PUT-163a-Physcomitrella_patens-37854641,PUT-163a-Physcomitrella_patens-48015,Ppa.8037,Predicted protein,UPI000162014B,XM_001755986,XM_001755986.1,XP_001756038,XP_001756038.1,ppp:PHYPADRAFT_204471
PP1S20_386V6.2	3218.PP1S20_386V6.2	https://smart.embl.de/smart/DDvec.cgi?smart=190:Pfam_SHS2_Rpb7-N(8|80)+	Predicted protein	5919159,A9RP65,A9RP65_PHYPA,EDQ79326.1,PHYPADRAFT_160295,PP1S20_386V6,PP1S20_386V6.1,PP1S20_386V6.2,PUT-163a-Physcomitrella_patens-20131,PUT-163a-Physcomitrella_patens-20167,Ppa.11098,Predicted protein,UPI0001620150,XM_001755989,XM_001755989.1,XP_001756041,XP_001756041.1,ppp:PHYPADRAFT_160295
PP1S211_24V6.1	3218.PP1S211_24V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=175:Pfam_EF-hand_1(95|123)+	Predicted protein	5940008,A9TDV6,A9TDV6_PHYPA,EDQ58337.1,PHYPADRAFT_221299,PP1S211_24V6,PP1S211_24V6.1,PUT-163a-Physcomitrella_patens-17215,PUT-163a-Physcomitrella_patens-17259,Predicted protein,UPI00016254E7,XM_001776735,XM_001776735.1,XP_001776787,XP_001776787.1,ppp:PHYPADRAFT_221299
PP1S211_32V6.2	3218.PP1S211_32V6.2	https://smart.embl.de/smart/DDvec.cgi?smart=215:Pfam_GLTP(41|179)+	Predicted protein	5940025,A9TDW1,A9TDW1_PHYPA,EDQ58373.1,PHYPADRAFT_221303,PP1S211_32V6,PP1S211_32V6.1,PP1S211_32V6.2,PUT-163a-Physcomitrella_patens-44120,Ppa.7219,Predicted protein,UPI00016254EC,UPI00024AEE10,XM_001776771,XM_001776771.1,XP_001776823,XP_001776823.1,ppp:PHYPADRAFT_221303
PP1S213_25V6.1	3218.PP1S213_25V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=318:SIGNAL(1|24)+Pfam_Lipase_GDSL(36|303)+	Predicted protein	5940178,A9TEA8,A9TEA8_PHYPA,EDQ58188.1,PHYPADRAFT_144290,PP1S213_25V6,PP1S213_25V6.1,Predicted protein,UPI00024ADD11,XP_001776939,XP_001776939.1,ppp:PHYPADRAFT_144290
PP1S215_28V6.1	3218.PP1S215_28V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=480:Pfam_Aminotran_1_2(61|461)+	Predicted protein	2.6.1.2,2.6.1.4,2.6.1.44,5940306,A9TEP5,A9TEP5_PHYPA,EC 2.6.1.2,EC 2.6.1.4,EC 2.6.1.44,EDQ58064.1,PHYPADRAFT_108003,PP1S215_28V6,PP1S215_28V6.1,PUT-163a-Physcomitrella_patens-6577,PUT-163a-Physcomitrella_patens-68054635,PUT-163a-Physcomitrella_patens-68054636,PUT-163a-Physcomitrella_patens-68054637,PUT-163a-Physcomitrella_patens-68054638,Ppa.622,Predicted protein,UPI000162469F,XM_001777019,XM_001777019.1,XP_001777071,XP_001777071.1,ppp:PHYPADRAFT_108003
